geonamesId,countryId
1529666,2921044
2038682,2921044
2657946,2921044
2658739,2921044
2659829,2921044
2744273,2921044
2744666,2921044
2745605,2921044
2746549,2921044
2747513,2921044
2747963,2921044
2748272,2921044
2748350,2921044
2749378,2921044
2751327,2921044
2753581,2921044
2753661,2921044
2755345,2921044
2755629,2921044
2756433,2921044
2756804,2921044
2757935,2921044
2758950,2921044
2759885,2921044
2760454,2921044
2761463,2921044
2772436,2921044
2772797,2921044
2803462,2921044
2803464,2921044
2803465,2921044
2803466,2921044
2803467,2921044
2803468,2921044
2803469,2921044
2803470,2921044
2803471,2921044
2803472,2921044
2803473,2921044
2803474,2921044
2803475,2921044
2803476,2921044
2803477,2921044
2803478,2921044
2803479,2921044
2803480,2921044
2803481,2921044
2803482,2921044
2803483,2921044
2803484,2921044
2803485,2921044
2803486,2921044
2803487,2921044
2803488,2921044
2803489,2921044
2803490,2921044
2803491,2921044
2803492,2921044
2803493,2921044
2803494,2921044
2803495,2921044
2803496,2921044
2803497,2921044
2803498,2921044
2803499,2921044
2803500,2921044
2803501,2921044
2803502,2921044
2803503,2921044
2803504,2921044
2803505,2921044
2803506,2921044
2803507,2921044
2803508,2921044
2803509,2921044
2803510,2921044
2803511,2921044
2803512,2921044
2803513,2921044
2803514,2921044
2803515,2921044
2803516,2921044
2803517,2921044
2803518,2921044
2803519,2921044
2803520,2921044
2803521,2921044
2803522,2921044
2803523,2921044
2803524,2921044
2803525,2921044
2803526,2921044
2803527,2921044
2803528,2921044
2803529,2921044
2803530,2921044
2803531,2921044
2803532,2921044
2803533,2921044
2803534,2921044
2803536,2921044
2803537,2921044
2803538,2921044
2803539,2921044
2803540,2921044
2803541,2921044
2803542,2921044
2803543,2921044
2803544,2921044
2803545,2921044
2803546,2921044
2803547,2921044
2803548,2921044
2803549,2921044
2803550,2921044
2803551,2921044
2803552,2921044
2803553,2921044
2803554,2921044
2803555,2921044
2803556,2921044
2803557,2921044
2803560,2921044
2803561,2921044
2803562,2921044
2803563,2921044
2803564,2921044
2803565,2921044
2803566,2921044
2803567,2921044
2803568,2921044
2803569,2921044
2803570,2921044
2803571,2921044
2803572,2921044
2803573,2921044
2803574,2921044
2803575,2921044
2803576,2921044
2803577,2921044
2803578,2921044
2803579,2921044
2803580,2921044
2803581,2921044
2803582,2921044
2803583,2921044
2803584,2921044
2803585,2921044
2803586,2921044
2803587,2921044
2803588,2921044
2803589,2921044
2803590,2921044
2803591,2921044
2803592,2921044
2803593,2921044
2803594,2921044
2803595,2921044
2803596,2921044
2803597,2921044
2803598,2921044
2803599,2921044
2803600,2921044
2803601,2921044
2803602,2921044
2803603,2921044
2803604,2921044
2803605,2921044
2803606,2921044
2803607,2921044
2803608,2921044
2803609,2921044
2803610,2921044
2803611,2921044
2803612,2921044
2803613,2921044
2803614,2921044
2803615,2921044
2803616,2921044
2803617,2921044
2803618,2921044
2803619,2921044
2803620,2921044
2803621,2921044
2803622,2921044
2803623,2921044
2803624,2921044
2803625,2921044
2803626,2921044
2803627,2921044
2803628,2921044
2803629,2921044
2803630,2921044
2803631,2921044
2803632,2921044
2803633,2921044
2803634,2921044
2803635,2921044
2803636,2921044
2803637,2921044
2803638,2921044
2803639,2921044
2803640,2921044
2803641,2921044
2803642,2921044
2803643,2921044
2803644,2921044
2803645,2921044
2803646,2921044
2803647,2921044
2803648,2921044
2803649,2921044
2803650,2921044
2803651,2921044
2803652,2921044
2803653,2921044
2803654,2921044
2803655,2921044
2803656,2921044
2803657,2921044
2803658,2921044
2803659,2921044
2803660,2921044
2803661,2921044
2803662,2921044
2803663,2921044
2803664,2921044
2803665,2921044
2803666,2921044
2803667,2921044
2803668,2921044
2803669,2921044
2803670,2921044
2803671,2921044
2803672,2921044
2803673,2921044
2803674,2921044
2803675,2921044
2803676,2921044
2803677,2921044
2803678,2921044
2803679,2921044
2803680,2921044
2803681,2921044
2803682,2921044
2803683,2921044
2803684,2921044
2803685,2921044
2803686,2921044
2803687,2921044
2803688,2921044
2803689,2921044
2803690,2921044
2803691,2921044
2803692,2921044
2803693,2921044
2803694,2921044
2803695,2921044
2803696,2921044
2803697,2921044
2803698,2921044
2803699,2921044
2803700,2921044
2803701,2921044
2803702,2921044
2803703,2921044
2803704,2921044
2803705,2921044
2803706,2921044
2803707,2921044
2803708,2921044
2803709,2921044
2803710,2921044
2803711,2921044
2803712,2921044
2803713,2921044
2803714,2921044
2803715,2921044
2803716,2921044
2803717,2921044
2803718,2921044
2803719,2921044
2803720,2921044
2803721,2921044
2803722,2921044
2803723,2921044
2803724,2921044
2803725,2921044
2803726,2921044
2803727,2921044
2803728,2921044
2803729,2921044
2803730,2921044
2803731,2921044
2803732,2921044
2803733,2921044
2803734,2921044
2803735,2921044
2803736,2921044
2803737,2921044
2803738,2921044
2803739,2921044
2803740,2921044
2803741,2921044
2803742,2921044
2803743,2921044
2803744,2921044
2803745,2921044
2803746,2921044
2803747,2921044
2803748,2921044
2803749,2921044
2803750,2921044
2803751,2921044
2803752,2921044
2803753,2921044
2803754,2921044
2803755,2921044
2803756,2921044
2803757,2921044
2803758,2921044
2803759,2921044
2803760,2921044
2803761,2921044
2803762,2921044
2803763,2921044
2803764,2921044
2803765,2921044
2803766,2921044
2803767,2921044
2803768,2921044
2803769,2921044
2803770,2921044
2803771,2921044
2803772,2921044
2803773,2921044
2803774,2921044
2803775,2921044
2803776,2921044
2803777,2921044
2803778,2921044
2803779,2921044
2803780,2921044
2803781,2921044
2803782,2921044
2803783,2921044
2803784,2921044
2803785,2921044
2803786,2921044
2803787,2921044
2803788,2921044
2803789,2921044
2803790,2921044
2803791,2921044
2803792,2921044
2803793,2921044
2803794,2921044
2803795,2921044
2803796,2921044
2803797,2921044
2803798,2921044
2803799,2921044
2803800,2921044
2803801,2921044
2803802,2921044
2803803,2921044
2803804,2921044
2803805,2921044
2803806,2921044
2803807,2921044
2803808,2921044
2803809,2921044
2803810,2921044
2803811,2921044
2803812,2921044
2803813,2921044
2803814,2921044
2803815,2921044
2803816,2921044
2803817,2921044
2803818,2921044
2803819,2921044
2803820,2921044
2803821,2921044
2803822,2921044
2803823,2921044
2803824,2921044
2803825,2921044
2803826,2921044
2803827,2921044
2803828,2921044
2803829,2921044
2803830,2921044
2803831,2921044
2803832,2921044
2803833,2921044
2803834,2921044
2803835,2921044
2803836,2921044
2803837,2921044
2803838,2921044
2803839,2921044
2803840,2921044
2803841,2921044
2803842,2921044
2803844,2921044
2803845,2921044
2803846,2921044
2803847,2921044
2803848,2921044
2803849,2921044
2803850,2921044
2803851,2921044
2803852,2921044
2803853,2921044
2803854,2921044
2803855,2921044
2803856,2921044
2803857,2921044
2803858,2921044
2803859,2921044
2803860,2921044
2803861,2921044
2803862,2921044
2803863,2921044
2803864,2921044
2803865,2921044
2803866,2921044
2803867,2921044
2803868,2921044
2803869,2921044
2803870,2921044
2803871,2921044
2803872,2921044
2803873,2921044
2803874,2921044
2803875,2921044
2803876,2921044
2803877,2921044
2803878,2921044
2803879,2921044
2803880,2921044
2803881,2921044
2803882,2921044
2803883,2921044
2803884,2921044
2803885,2921044
2803886,2921044
2803887,2921044
2803888,2921044
2803889,2921044
2803890,2921044
2803891,2921044
2803892,2921044
2803893,2921044
2803894,2921044
2803895,2921044
2803896,2921044
2803897,2921044
2803898,2921044
2803899,2921044
2803900,2921044
2803901,2921044
2803902,2921044
2803903,2921044
2803904,2921044
2803905,2921044
2803906,2921044
2803907,2921044
2803908,2921044
2803909,2921044
2803910,2921044
2803911,2921044
2803912,2921044
2803913,2921044
2803914,2921044
2803915,2921044
2803916,2921044
2803917,2921044
2803918,2921044
2803919,2921044
2803920,2921044
2803921,2921044
2803922,2921044
2803923,2921044
2803924,2921044
2803925,2921044
2803926,2921044
2803927,2921044
2803928,2921044
2803929,2921044
2803930,2921044
2803931,2921044
2803932,2921044
2803933,2921044
2803934,2921044
2803936,2921044
2803937,2921044
2803938,2921044
2803939,2921044
2803940,2921044
2803941,2921044
2803942,2921044
2803943,2921044
2803944,2921044
2803945,2921044
2803946,2921044
2803947,2921044
2803948,2921044
2803949,2921044
2803950,2921044
2803951,2921044
2803952,2921044
2803953,2921044
2803954,2921044
2803955,2921044
2803957,2921044
2803958,2921044
2803959,2921044
2803960,2921044
2803961,2921044
2803962,2921044
2803963,2921044
2803964,2921044
2803965,2921044
2803966,2921044
2803967,2921044
2803968,2921044
2803969,2921044
2803970,2921044
2803971,2921044
2803972,2921044
2803973,2921044
2803974,2921044
2803975,2921044
2803976,2921044
2803977,2921044
2803978,2921044
2803979,2921044
2803980,2921044
2803981,2921044
2803982,2921044
2803983,2921044
2803984,2921044
2803985,2921044
2803986,2921044
2803987,2921044
2803988,2921044
2803989,2921044
2803990,2921044
2803991,2921044
2803992,2921044
2803993,2921044
2803994,2921044
2803995,2921044
2803996,2921044
2803997,2921044
2803998,2921044
2803999,2921044
2804000,2921044
2804001,2921044
2804002,2921044
2804003,2921044
2804004,2921044
2804005,2921044
2804006,2921044
2804007,2921044
2804008,2921044
2804009,2921044
2804010,2921044
2804011,2921044
2804012,2921044
2804013,2921044
2804014,2921044
2804015,2921044
2804016,2921044
2804017,2921044
2804018,2921044
2804019,2921044
2804020,2921044
2804021,2921044
2804022,2921044
2804023,2921044
2804024,2921044
2804025,2921044
2804026,2921044
2804027,2921044
2804028,2921044
2804029,2921044
2804030,2921044
2804031,2921044
2804032,2921044
2804033,2921044
2804034,2921044
2804035,2921044
2804036,2921044
2804037,2921044
2804038,2921044
2804039,2921044
2804040,2921044
2804041,2921044
2804042,2921044
2804043,2921044
2804044,2921044
2804045,2921044
2804046,2921044
2804047,2921044
2804048,2921044
2804049,2921044
2804050,2921044
2804051,2921044
2804052,2921044
2804053,2921044
2804054,2921044
2804055,2921044
2804056,2921044
2804057,2921044
2804058,2921044
2804059,2921044
2804060,2921044
2804061,2921044
2804062,2921044
2804063,2921044
2804064,2921044
2804065,2921044
2804066,2921044
2804067,2921044
2804068,2921044
2804069,2921044
2804070,2921044
2804071,2921044
2804072,2921044
2804073,2921044
2804074,2921044
2804075,2921044
2804076,2921044
2804077,2921044
2804078,2921044
2804079,2921044
2804080,2921044
2804081,2921044
2804082,2921044
2804083,2921044
2804084,2921044
2804085,2921044
2804086,2921044
2804087,2921044
2804088,2921044
2804089,2921044
2804090,2921044
2804091,2921044
2804092,2921044
2804093,2921044
2804094,2921044
2804095,2921044
2804096,2921044
2804097,2921044
2804098,2921044
2804099,2921044
2804100,2921044
2804101,2921044
2804102,2921044
2804103,2921044
2804104,2921044
2804105,2921044
2804106,2921044
2804107,2921044
2804108,2921044
2804109,2921044
2804110,2921044
2804111,2921044
2804112,2921044
2804113,2921044
